홀 번호,Par,합계 (Total SG),원본 SG,샷 상세 내역 (샷:위치:점수)
6,3,6.76,6.755000000000001,"1타 [TE] (1.08점) -> 2타 [RO / 99] (0.72점) -> 3타 [FW / 90] (0.81점) -> 4타 [GB / 4] (0.75점) -> 5타 [GA / 21] (-0.08점) -> 6타 [FW / 107] (0.41점) -> 7타 [FB / 149] (-0.03점) -> 8타 [GA / 18] (0.2점) -> 9타 [RO / 42] (0.42점) -> 10타 [FW / 28] (0.77점) -> 11타 [FW / 25] (0.76점) -> 12타 [FW / 19] (0.78점) -> 13타 [FW / 33] (0.65점) -> 14타 [FW / 20] (1.18점) -> 15타 [GB / 26] (-1.65점)"
10,5,-4.39,-4.395,"1타 [TE] (-0.15점) -> 2타 [GA / 2] (1점) -> 3타 [PS] (-0.37점) -> 4타 [RO / 155] (-1.63점) -> 5타 [FW / 30] (-0.16점) -> 6타 [FB / 108] (0.18점) -> 7타 [GA / 12] (-1.2점) -> 8타 [FW / 42] (-0.75점) -> 9타 [FW / 49] (0.13점) -> 10타 [FB / 154] (-0.82점) -> 11타 [GR / 3] (-0.6점)"
11,5,-1.65,-1.65,"1타 [TE] (-1.17점) -> 2타 [FB / 38] (0.28점) -> 3타 [GA / 5] (-0.62점) -> 4타 [RO / 106] (0.16점) -> 5타 [GR / 17] (0.07점) -> 6타 [GR / 2] (-0.35점)"
12,3,5.78,5.775000000000001,"1타 [TE] (1.02점) -> 2타 [RO / 85] (0.5점) -> 3타 [RO / 26] (0.35점) -> 4타 [GA / 10] (0.2점) -> 5타 [RO / 75] (0.28점) -> 6타 [FB / 45] (0.48점) -> 7타 [GA / 15] (-0.08점) -> 8타 [FW / 85] (0.83점) -> 9타 [FB / 28] (0.55점) -> 10타 [GA / 25] (0.53점) -> 11타 [RO / 36] (0.27점) -> 12타 [GR / 12] (0.66점) -> 13타 [GR / 5] (0.8점) -> 14타 [GR / 3] (-0.6점)"
13,4,0.35,0.3500000000000001,"1타 [TE] (-0.65점) -> 2타 [GA / 15] (-0.25점) -> 3타 [RO / 16] (2.25점) -> 4타 [OB] (-0.08점) -> 5타 [RO / 61] (0.36점) -> 6타 [GR / 17] (-1.28점)"
15,5,0.75,0.7499999999999999,"1타 [TE] (0.1점) -> 2타 [GA / 20] (0.55점) -> 3타 [GR / 7] (1점) -> 4타 [GR / 7] (-0.9점)"
16,5,-0.4,-0.3999999999999999,"1타 [TE] (-0.15점) -> 2타 [GA / 4] (-0.57점) -> 3타 [FB / 106] (-1점) -> 4타 [FB / 50] (-0.3점) -> 5타 [RO / 150] (-0.42점) -> 6타 [GR / 8] (0.9점) -> 7타 [GR / 6] (1.15점) -> 8타 [GR / 9] (0.9점) -> 9타 [GR / 7] (-0.9점)"
18,5,-1.62,-1.625,"1타 [TE] (-1.95점) -> 2타 [FW / 12] (1.13점) -> 3타 [GB / 7] (0.2점) -> 4타 [RO / 78] (-1점) -> 5타 [RO / 26] (2.25점) -> 6타 [OB] (-0.95점) -> 7타 [FW / 97] (-0.12점) -> 8타 [FB / 156] (-0.8점) -> 9타 [RO / 156] (-0.09점) -> 10타 [GR / 17] (-0.18점) -> 11타 [GR / 1] (-0.1점)"
24,3,2.88,2.8799999999999994,"1타 [TE] (0.38점) -> 2타 [RO / 13] (0.6점) -> 3타 [GA / 13] (1점) -> 4타 [GA / 13] (-0.08점) -> 5타 [FW / 125] (0.26점) -> 6타 [RO / 138] (-0.36점) -> 7타 [FW / 94] (1.21점) -> 8타 [FW / 94] (-0.08점) -> 9타 [FW / 111] (0.03점) -> 10타 [FW / 114] (0.36점) -> 11타 [FB / 132] (-0.08점) -> 12타 [FB / 151] (-0.5점) -> 13타 [FW / 109] (0.16점) -> 14타 [GR / 9] (0.35점) -> 15타 [GR / 2] (-0.35점)"
25,5,0.85,0.8499999999999994,"1타 [TE] (-0.92점) -> 2타 [FB / 86] (1.05점) -> 3타 [RO / 106] (1.2점) -> 4타 [FB / 137] (0.27점) -> 5타 [GB / 8] (1점) -> 6타 [GB / 13] (0.5점) -> 7타 [GA / 8] (1점) -> 8타 [GA / 8] (-0.57점) -> 9타 [RO / 114] (-0.85점) -> 10타 [RO / 96] (-1.28점) -> 11타 [FW / 48] (0.41점) -> 12타 [GR / 8] (-0.95점)"
